epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1213.57,0.54746,0.78469,0.55021,0.93146,0.79216,0.77524,0.84547,0.75899,0.79216,0.77524,0.84357,0.73307,0.53673,1.05506,0.7306,0.94467,0.00100687,0.00100687,0.00100687
62,1232.48,0.53464,0.76211,0.53115,0.92466,0.73078,0.88132,0.87257,0.77173,0.72848,0.87855,0.86542,0.7479,0.53808,0.94956,0.59673,0.93719,0.000995866,0.000995866,0.000995866
63,1251.59,0.51391,0.73565,0.50273,0.92126,0.6959,0.90278,0.86454,0.77132,0.69147,0.89723,0.86015,0.73065,0.52971,0.9904,0.59989,0.92811,0.000984864,0.000984864,0.000984864
64,1270.41,0.52582,0.77665,0.56122,0.92398,0.75862,0.77735,0.84158,0.75103,0.75862,0.77735,0.83994,0.72004,0.51936,1.03971,0.68992,0.9217,0.000973861,0.000973861,0.000973861
65,1289.44,0.53621,0.76089,0.55178,0.91801,0.73744,0.75833,0.82365,0.73057,0.73512,0.75556,0.81416,0.68948,0.56116,1.04533,0.70004,0.94242,0.000962859,0.000962859,0.000962859
66,1308.91,0.55093,0.81609,0.55721,0.92768,0.77902,0.76461,0.84203,0.74481,0.77653,0.76183,0.84,0.71409,0.54627,1.06044,0.66789,0.94437,0.000951857,0.000951857,0.000951857
67,1328.05,0.55748,0.77503,0.58781,0.93898,0.7321,0.85118,0.86631,0.76344,0.72968,0.8484,0.86523,0.73055,0.54069,1.06026,0.62558,0.93862,0.000940855,0.000940855,0.000940855
68,1347.37,0.54741,0.78886,0.5575,0.94234,0.7587,0.7734,0.85001,0.75574,0.75364,0.76784,0.84396,0.72155,0.52217,1.03433,0.67306,0.9352,0.000929853,0.000929853,0.000929853
69,1366.45,0.5292,0.74266,0.52464,0.93151,0.70167,0.87374,0.85715,0.75765,0.69947,0.87096,0.85262,0.72061,0.53998,1.07512,0.61988,0.94019,0.00091885,0.00091885,0.00091885
70,1385.64,0.52872,0.74198,0.51227,0.92242,0.73529,0.79782,0.83263,0.74454,0.73286,0.79504,0.82548,0.71236,0.53887,1.08136,0.70379,0.93773,0.000907848,0.000907848,0.000907848
71,1404.74,0.52361,0.74141,0.5118,0.92104,0.72548,0.82265,0.84373,0.75464,0.72383,0.81987,0.83928,0.72575,0.54494,1.10422,0.6326,0.94701,0.000896846,0.000896846,0.000896846
72,1423.67,0.52335,0.74407,0.5247,0.91598,0.77045,0.81603,0.8651,0.77251,0.76782,0.81325,0.85496,0.73894,0.52178,0.98677,0.61867,0.92862,0.000885844,0.000885844,0.000885844
73,1442.82,0.52488,0.75695,0.50787,0.9141,0.76436,0.83624,0.86289,0.76843,0.76178,0.83346,0.85574,0.73437,0.53257,1.00186,0.65065,0.93755,0.000874842,0.000874842,0.000874842
74,1462.05,0.52285,0.72934,0.52021,0.91858,0.77662,0.7852,0.86125,0.77115,0.76993,0.77862,0.85529,0.7349,0.51653,1.01329,0.6244,0.93822,0.000863839,0.000863839,0.000863839
75,1481.29,0.53002,0.73733,0.56041,0.92305,0.7595,0.82324,0.86882,0.76918,0.7595,0.82324,0.86366,0.74316,0.53984,1.02707,0.62036,0.94659,0.000852837,0.000852837,0.000852837
76,1500.4,0.52037,0.73928,0.51931,0.91401,0.75429,0.80791,0.86647,0.77388,0.75184,0.80513,0.86253,0.74379,0.51887,0.92948,0.61326,0.92043,0.000841835,0.000841835,0.000841835
77,1519.38,0.51641,0.71799,0.52927,0.92487,0.7691,0.82051,0.85425,0.76493,0.76256,0.8141,0.85457,0.73725,0.51543,0.95961,0.6408,0.91894,0.000830833,0.000830833,0.000830833
78,1538.6,0.52991,0.73633,0.51009,0.92881,0.70939,0.87597,0.83666,0.74286,0.70939,0.87597,0.83755,0.72814,0.51347,0.97155,0.65083,0.92332,0.000819831,0.000819831,0.000819831
79,1557.4,0.50964,0.72665,0.50147,0.92264,0.74675,0.80791,0.84302,0.75274,0.74166,0.80235,0.83861,0.72929,0.52674,0.95228,0.63,0.92627,0.000808828,0.000808828,0.000808828
80,1576.5,0.50804,0.71648,0.48829,0.91322,0.75804,0.80491,0.84752,0.75824,0.75804,0.80491,0.84552,0.72587,0.52682,1.02334,0.66827,0.93053,0.000797826,0.000797826,0.000797826
81,1596.01,0.51459,0.7278,0.52044,0.91687,0.79232,0.7985,0.85649,0.76852,0.79232,0.7985,0.85581,0.73836,0.52483,1.06174,0.63987,0.93664,0.000786824,0.000786824,0.000786824
82,1615.16,0.51342,0.715,0.50296,0.91651,0.7589,0.79452,0.84624,0.76411,0.7589,0.79452,0.84465,0.72937,0.50884,0.95758,0.65545,0.92127,0.000775822,0.000775822,0.000775822
