epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2084.38,0.53046,0.51269,0.95564,0.86828,0.8908,0.9471,0.86354,0.46749,0.43177,0.91994,0.000742815,0.000742815,0.000742815
86,2108.23,0.53895,0.51168,0.96194,0.86567,0.90556,0.94224,0.85177,0.4675,0.47179,0.914,0.000731813,0.000731813,0.000731813
87,2131.73,0.53585,0.50271,0.9524,0.86923,0.90308,0.93843,0.84778,0.46445,0.44169,0.91279,0.000720811,0.000720811,0.000720811
88,2155.15,0.53437,0.493,0.94775,0.87703,0.90567,0.94692,0.8563,0.46102,0.43346,0.91826,0.000709809,0.000709809,0.000709809
89,2178.59,0.51897,0.49916,0.94438,0.88944,0.89318,0.95419,0.86456,0.46391,0.41635,0.92075,0.000698806,0.000698806,0.000698806
90,2203.11,0.53344,0.49006,0.9531,0.88605,0.91316,0.95988,0.87164,0.45877,0.40588,0.91606,0.000687804,0.000687804,0.000687804
91,2232,0.52447,0.47236,0.94111,0.87804,0.91612,0.95597,0.87547,0.4526,0.39659,0.91162,0.000676802,0.000676802,0.000676802
92,2261.51,0.53674,0.52735,0.95217,0.87817,0.9082,0.94972,0.86174,0.45688,0.44985,0.91553,0.0006658,0.0006658,0.0006658
93,2288.5,0.50129,0.458,0.94079,0.8855,0.89581,0.95442,0.8689,0.45181,0.40597,0.91639,0.000654798,0.000654798,0.000654798
94,2317.84,0.50809,0.45118,0.94552,0.88306,0.91701,0.95806,0.87551,0.4544,0.39133,0.91861,0.000643795,0.000643795,0.000643795
95,2348.07,0.53305,0.46823,0.94647,0.88182,0.91579,0.9567,0.87377,0.45156,0.3975,0.91186,0.000632793,0.000632793,0.000632793
96,2377.34,0.51841,0.47562,0.93882,0.8804,0.91785,0.95742,0.87623,0.44179,0.40323,0.90762,0.000621791,0.000621791,0.000621791
97,2407.47,0.51944,0.48104,0.94624,0.89881,0.89904,0.95836,0.87497,0.4474,0.3909,0.90911,0.000610789,0.000610789,0.000610789
98,2437.23,0.5005,0.44999,0.93424,0.87132,0.92046,0.95903,0.87678,0.44012,0.39817,0.90774,0.000599787,0.000599787,0.000599787
99,2467.15,0.51283,0.46023,0.94098,0.87424,0.9218,0.95987,0.87994,0.43841,0.39604,0.90739,0.000588784,0.000588784,0.000588784
100,2497.61,0.49159,0.46743,0.92528,0.8863,0.90645,0.95506,0.87294,0.44047,0.39715,0.90857,0.000577782,0.000577782,0.000577782
101,2523,0.51827,0.44801,0.93686,0.87806,0.92577,0.9591,0.8762,0.44201,0.38672,0.90494,0.00056678,0.00056678,0.00056678
102,2546.48,0.49789,0.45758,0.92944,0.89114,0.91818,0.95845,0.87255,0.44181,0.38696,0.90349,0.000555778,0.000555778,0.000555778
103,2570.09,0.50923,0.4518,0.93975,0.88109,0.92665,0.95992,0.8773,0.43524,0.39032,0.90193,0.000544776,0.000544776,0.000544776
104,2593.58,0.49854,0.45924,0.92916,0.90469,0.91223,0.96384,0.88242,0.43893,0.37621,0.9005,0.000533773,0.000533773,0.000533773
105,2617.38,0.50155,0.4665,0.93304,0.88012,0.92435,0.96177,0.87912,0.44008,0.3969,0.901,0.000522771,0.000522771,0.000522771
106,2640.84,0.5032,0.44706,0.94342,0.88381,0.92651,0.9629,0.88211,0.43954,0.38154,0.90015,0.000511769,0.000511769,0.000511769
107,2664.08,0.50476,0.44417,0.9411,0.8935,0.89112,0.95771,0.87887,0.43475,0.38567,0.89874,0.000500767,0.000500767,0.000500767
108,2687.69,0.50136,0.43653,0.93044,0.89635,0.91463,0.96194,0.87908,0.43381,0.37162,0.89839,0.000489765,0.000489765,0.000489765
109,2711.3,0.53247,0.4992,0.95259,0.89377,0.91747,0.95969,0.87967,0.42837,0.3764,0.89682,0.000478762,0.000478762,0.000478762
110,2734.88,0.47667,0.42075,0.92257,0.90559,0.91961,0.96247,0.88216,0.42971,0.37636,0.89719,0.00046776,0.00046776,0.00046776
111,2758.97,0.48055,0.43749,0.91187,0.90199,0.92723,0.96715,0.89171,0.42361,0.35006,0.88936,0.000456758,0.000456758,0.000456758
112,2782.74,0.47498,0.41783,0.92285,0.90353,0.9289,0.96763,0.89148,0.42325,0.35645,0.88895,0.000445756,0.000445756,0.000445756
113,2806.47,0.47902,0.43613,0.91919,0.90055,0.92792,0.96888,0.89073,0.42334,0.37483,0.88984,0.000434754,0.000434754,0.000434754
114,2830.67,0.50355,0.46237,0.94073,0.89144,0.92053,0.96465,0.88723,0.4232,0.36597,0.8976,0.000423751,0.000423751,0.000423751
115,2854.51,0.49003,0.4265,0.92976,0.9089,0.91331,0.96787,0.89045,0.42305,0.36078,0.90089,0.000412749,0.000412749,0.000412749
116,2877.99,0.48162,0.42851,0.92785,0.91617,0.90724,0.9669,0.89195,0.42001,0.34907,0.89566,0.000401747,0.000401747,0.000401747
117,2901.62,0.49465,0.43228,0.9408,0.92061,0.90985,0.9689,0.89363,0.41811,0.34289,0.8921,0.000390745,0.000390745,0.000390745
118,2925.69,0.46983,0.40792,0.92078,0.89745,0.92372,0.96728,0.89496,0.41655,0.3533,0.89046,0.000379743,0.000379743,0.000379743
119,2949.98,0.48377,0.41643,0.92476,0.90205,0.91412,0.9664,0.8944,0.41178,0.35439,0.88918,0.00036874,0.00036874,0.00036874
120,2973.75,0.47035,0.39988,0.92227,0.91222,0.92016,0.96451,0.89222,0.41427,0.34938,0.89225,0.000357738,0.000357738,0.000357738
121,2997.58,0.46822,0.40485,0.92439,0.91264,0.91296,0.96681,0.89708,0.40911,0.34771,0.89076,0.000346736,0.000346736,0.000346736
122,3021.46,0.47985,0.41804,0.93214,0.92368,0.91197,0.96844,0.89602,0.41068,0.33446,0.89269,0.000335734,0.000335734,0.000335734
123,3045.18,0.46496,0.4021,0.91945,0.90391,0.9389,0.97004,0.89842,0.40854,0.33507,0.88868,0.000324732,0.000324732,0.000324732
124,3069.12,0.47849,0.4129,0.9342,0.91041,0.92998,0.97152,0.8998,0.40851,0.3339,0.89049,0.000313729,0.000313729,0.000313729
125,3093.13,0.47452,0.41561,0.92283,0.92228,0.90871,0.9703,0.8971,0.4095,0.3379,0.89033,0.000302727,0.000302727,0.000302727
126,3116.66,0.468,0.41249,0.92246,0.91058,0.91776,0.97027,0.89873,0.40474,0.33432,0.88768,0.000291725,0.000291725,0.000291725
127,3140.05,0.47062,0.40755,0.92622,0.91586,0.91889,0.97203,0.90103,0.40333,0.32707,0.88482,0.000280723,0.000280723,0.000280723
128,3163.8,0.46624,0.39437,0.91759,0.91681,0.92105,0.97383,0.90336,0.40245,0.32423,0.88575,0.000269721,0.000269721,0.000269721
129,3187.73,0.47833,0.3851,0.91984,0.91509,0.93143,0.97395,0.906,0.40254,0.32244,0.88732,0.000258718,0.000258718,0.000258718
130,3211.74,0.48727,0.4146,0.93493,0.91088,0.9319,0.97513,0.90568,0.40404,0.32378,0.88891,0.000247716,0.000247716,0.000247716
131,3236.27,0.4556,0.38228,0.91522,0.90459,0.93876,0.97468,0.90525,0.40143,0.31928,0.88876,0.000236714,0.000236714,0.000236714
132,3259.79,0.46665,0.38752,0.92339,0.91097,0.93991,0.97603,0.90702,0.39657,0.31335,0.88604,0.000225712,0.000225712,0.000225712
133,3283.77,0.44772,0.36567,0.91334,0.91827,0.92592,0.9754,0.90654,0.39727,0.31628,0.88501,0.00021471,0.00021471,0.00021471
134,3307.45,0.45345,0.37542,0.91716,0.91712,0.92848,0.97502,0.90804,0.39635,0.31193,0.88294,0.000203707,0.000203707,0.000203707
135,3331.46,0.46949,0.38049,0.9243,0.90296,0.94344,0.97441,0.90861,0.39383,0.31223,0.88331,0.000192705,0.000192705,0.000192705
136,3355.25,0.46354,0.39341,0.92855,0.91002,0.92842,0.97159,0.90412,0.39453,0.32046,0.88571,0.000181703,0.000181703,0.000181703
137,3378.69,0.46602,0.38059,0.92506,0.92314,0.92909,0.97686,0.91085,0.39357,0.31339,0.88431,0.000170701,0.000170701,0.000170701
138,3402.69,0.45538,0.36792,0.91871,0.92533,0.9288,0.97616,0.91209,0.38838,0.30815,0.88202,0.000159699,0.000159699,0.000159699
139,3427.11,0.46551,0.38654,0.92152,0.91748,0.93801,0.97635,0.9108,0.38693,0.30333,0.88077,0.000148696,0.000148696,0.000148696
140,3450.66,0.45767,0.37739,0.91158,0.91857,0.93599,0.97715,0.91237,0.38651,0.3035,0.88051,0.000137694,0.000137694,0.000137694
141,3495.07,0.41733,0.34931,0.88874,0.9262,0.92749,0.97733,0.91209,0.38824,0.30056,0.88036,0.000126692,0.000126692,0.000126692
142,3518.77,0.41212,0.33694,0.88094,0.91926,0.93769,0.97761,0.91261,0.38812,0.30023,0.87997,0.00011569,0.00011569,0.00011569
143,3542.65,0.41624,0.33303,0.88285,0.92795,0.93622,0.97867,0.91496,0.38513,0.29299,0.87845,0.000104688,0.000104688,0.000104688
144,3566.45,0.41012,0.33071,0.87858,0.92517,0.9382,0.97927,0.91708,0.38373,0.28924,0.877,9.36854e-05,9.36854e-05,9.36854e-05
145,3590.1,0.41338,0.33678,0.88832,0.92264,0.94275,0.97967,0.91658,0.38339,0.28917,0.87734,8.26832e-05,8.26832e-05,8.26832e-05
146,3613.52,0.40556,0.32603,0.88438,0.92732,0.94016,0.98001,0.91818,0.3824,0.28647,0.877,7.1681e-05,7.1681e-05,7.1681e-05
147,3637.15,0.39959,0.31637,0.88047,0.92688,0.94044,0.98018,0.91865,0.38019,0.28592,0.87621,6.06788e-05,6.06788e-05,6.06788e-05
148,3661.26,0.41117,0.33537,0.8849,0.92599,0.94118,0.98032,0.91843,0.37913,0.28671,0.87587,4.96766e-05,4.96766e-05,4.96766e-05
149,3684.57,0.40539,0.3284,0.87969,0.92416,0.94264,0.98054,0.92045,0.37765,0.28399,0.87539,3.86744e-05,3.86744e-05,3.86744e-05
150,3708.34,0.40081,0.32664,0.87823,0.92449,0.94022,0.98078,0.92167,0.37687,0.28072,0.87504,2.76722e-05,2.76722e-05,2.76722e-05
